"Assembly ID","Base Catalog Number","Illumina Sample Filename","ONT Sample Filename"
"55873c2c642d4444","12344","ILM3_2019AJ02_12344D-5.fastq.gz","ONG2_2019AJ01_12344D-5.fastq.gz"
"55832fbdda234fc5","BAA-588","ILM3_2019AB10_BAA-588D-5.fastq.gz","ONG2_2019AA01_BAA-588D-5.fastq.gz"
"5552c01956864565","828","ILN1_2020AB41_828.fastq.gz","ONG3_2020DG04_828.fastq.gz"
"5504360ebfd743a0","14393","ILM3_2020AU06_14393.fastq.gz","ONG2_2020BF02_14393.fastq.gz"
"54f905b6e47348d1","27137","ILM3_2019CN06_27137D-5.fastq.gz","ONG2_2019EQ02-27137D-5.fastq.gz"
"54a8c6c9763c4d15","9290","ILN1_2021AB12_9290.fastq.gz","ONG3_2021AE03_9290.fastq.gz"
"546878fd27354764","43078","ILN1_2021AC15_43078.fastq.gz","ONG3_2021AQ01_43078.fastq.gz"
"541b63f36e784b04","35560","ILM3_2020BW03_35560.fastq.gz","ONG3_2020BD03_70034567.fastq.gz"
"53fcb5c1ae7f4cd1","76901","ILM2_2019AP02_76901D-5.fastq.gz","ONG2_2020AY03_76901D-5.fastq.gz"
"53fb2347b46b4f51","13980","ILM3_2019CK09_13980D-5.fastq.gz","ONG2_2019EH05_13980D-5.fastq.gz"
"53f9fbe43d3f4cb5","14053","ILM3_2019CQ01_14053D-5.fastq.gz","ONG2_2019FJ01_14053D-5.fastq.gz"
"539b2b75b86f4e54","700962","ILM3_2019CJ04_700962D-5.fastq.gz","ONG2_2019EF03_700962D-5.fastq.gz"
"539ae5ebfe4a4423","29098","ILN1_2020AB25_29098.fastq.gz","ONG3_2020DD03_29098.fastq.gz"
"5371a9904eb64361","10987","ILM2_2018AF05_10987.fastq.gz","ONM2_2018AC04_10987.fastq.gz"
"535c54967fe34fa1","29970","ILM3_2019CB05_29970D-5.fastq.gz","ONG2_2019DT06_29970D-5.fastq.gz"
"534516c2256a4583","51394","ILM2_2019AB06_51394D-5.fastq.gz","ONG2_2019BF04_51394D-5.fastq.gz"
"530b48f933954205","49725","ILM3_2020CA11_49725.fastq.gz","ONG3_2020BY01_70034667.fastq.gz"
"52f65dd47622428a","27603","ILN1_2020AC32_27603.fastq.gz","ONG3_2020DM04_27603.fastq.gz"
"52e7c1daf0dd42e2","BAA-1674","ILM3_2019CA06_BAA-1674D-5.fastq.gz","ONG2_2019DR05_BAA-1674D-5.fastq.gz"
"52b3897d68704ff3","700550","ILM3_2020CE05_700550.fastq.gz","ONG3_2020BL05_700550.fastq.gz"
"525e9ccecfa24c17","BAA-1063","ILM3_2019CB09_BAA-1063D-5.fastq.gz","ONG2_2019DQ03_BAA-1063D-5.fastq.gz"
"524d78b561d34e88","33912","ILM3_2019AK09_33912D-5.fastq","ONM2_2019AD02_33912D-5.fastq.gz"
"5248648f2b2544c5","700872","ILM3_2018AD10_700872.fastq.gz","ONG1_2018AK12_700872.fastq.gz"
"524356f1990b4e95","VR-955","ILM3_2020CS05_VR-955D.fastq.gz",""
"51f9e1afedd84300","49978","ILM2_2019AK07_49978D-5.fastq.gz","ONG2_2019DR01_49978D-5.fastq.gz"
"51c68a6e81744136","25586","ILM3_2018AI06_25586D-5.fastq.gz","ONG2_2019BF02_25586D-5.fastq.gz"
"51c2f760d9af4a67","28485","ILM3_2019CR01_28485D-5.fastq.gz","ONG2_2019FM02_28485D-5.fastq.gz"
"515b50bd41c14d8e","VR-1467","ILM3_2020BB04_VR-1467DQ.fastq.gz","ONG3_2020BB01_VR-1467DQ.fastq.gz"
"50d0309031cb48cb","25922","ILM3_2018AL04_25922D-5.fastq.gz","ONG2_2019BI01_25922D-5.fastq.gz"
"50cb6560cebb4a04","BAA-2193","ILM3_2019BF06_BAA-2193D-5.fastq.gz","ONG2_2019CK01_BAA-2193D-5.fastq.gz"
"50ab93629f0b458b","484","ILN1_2021AA08_484.fastq.gz","ONG3_2020DT04_484.fastq.gz"
"506cde6d783242a3","700971","ILM3_2019BK05_700971D-5.fastq.gz","ONG2_2019CU03_700971D-5.fastq.gz"
"506017227377450a","12453","ILM3_2019AE09_12453D-5.fastq.gz","ONG2_2019AF02_12453D-5.fastq.gz"
"4fec844ad7f446da","43595","ILM3_2020AD04_43595D-5.fastq.gz","ONG2_2019CS04_43595D-5.fastq.gz"
"4fa4f8e4f72c44d7","25017","ILM2_2019AH12_25017D-5.fastq.gz","ONG2_2019DB05_25017D-5.fastq.gz"
"4f7d6ee50a0c4d44","BAA-1633","ILM3_2019BD10_BAA-1633D-5.fastq.gz","ONG2_2019BE05_BAA-1633D-5.fastq.gz"
"4f673737febe47ef","19615","ILM3_2018AJ06_19615D-5.fastq.gz","ONG2_2019BG01_19615D-5.fastq.gz"
"4f2dccfaa1134af3","27556","ILM3_2019AT05_27556D-5.fastq.gz","ONG2_2019BD04_27556D-5.fastq.gz"
"4f1d9396c0824cef","8293","ILM3_2019AB05_8293D-5.fastq.gz","ONG2_2019BL02_8293D-5.fastq.gz"
"4f0383ef43144368","29212","ILM3_2019AY01_29212DX.fastq.gz","ONG2_2019BU02_29212DX.fastq.gz"
"4eab626685644d98","VR-1927","ILM1_2019ZE02_VR-1927.fastq.gz",""
"4e7833b40a8d40f5","33352","ILN1_2020AB23_33352.fastq.gz","ONG3_2020DC05_33352.fastq.gz"
"4e5d49a7682743d7","BAA-3053","ILM3_2020AT06_BAA-3053.fastq.gz","ONG2_2020BB04_BAA-3053.fastq.gz"
"4e1425b852f24851","BAA-1621","ILM3_2019CM09_BAA-1621D-5.fastq.gz","ONG2_2019EL01_BAA-1621D-5.fastq.gz"
"4e0d986662ea4b0a","BAA-621","ILM3_2019BF11_BAA-621D-5.fastq","ONG2_2019CK04_BAA-621D-5.fastq.gz"
"4dd22b504f3a4217","15305","ILM3_2018AL06_15305D-5.fastq.gz","ONG2_2019BI04_15305D-5.fastq.gz"
"4dcf2fab9b724216","11797","ILV0_2020AA13_11797D-2.fastq.gz","ONG3_2020AZ03_11797D-2.fastq.gz"
"4d92384fd28d4306","17802","ILM3_2019AG02_17802D-5.fastq.gz","ONG2_2019BM02_17802D-5.fastq.gz"
"4d91c4c7970346a6","BAA-968","ILM3_2019AZ09_BAA-968D-5.fastq.gz","ONG2_2019BA04_BAA-968D-5.fastq.gz"
