Item Number,GCF,Illumina Filename,ONT Filename
17978,GCF_004794235.2,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
17978,GCF_004797155.2,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
33277,GCF_002892575.1,ILM3_2018AB08_33277D-5.fastq.gz,ONG2_2019BB05_33277D-5.fastq.gz
10558,GCF_900475015.1,ILN1_2020AB21_10558.fastq.gz,ONG3_2020DD01_10558.fastq.gz
19606,GCF_019331655.1,ILM3_2018AH06_19606D-5.fastq.gz,ONG1_2018AL02_19606D-5.fastq.gz
6538,GCF_002025145.1,ILM3_2019AG04_6538D-5.fastq.gz,ONG2_2019BM05_6538D-5.fastq.gz
12472,GCF_000007705.1,ILM3_2019AO02_12472DX.fastq.gz,ONG2_2019BN02_12472DX.fastq.gz
14048,GCF_001680025.1,ILM3_2019AU02_14048DX.fastq.gz,ONG2_2019BS04_14048DX.fastq.gz
13525,GCF_900475215.1,ILM3_2019AR06_13525DX.fastq.gz,ONG2_2019BR05_13525DX.fastq.gz
11842,GCF_000056065.1,ILM3_2019AG09_11842D-5.fastq,ONG2_2019BJ03_11842D-5.fastq.gz
334,GCF_000014525.1,ILM3_2019AD01_334D-5.fastq.gz,ONG2_2019BL05_334D-5.fastq.gz
29970,GCF_006094395.1,ILM3_2019CB05_29970D-5.fastq.gz,ONG2_2019DT06_29970D-5.fastq.gz
8486,GCF_000807675.2,ILM3_2019AT04_8486D-5.fastq.gz,ONG2_2019BD03_8486D-5.fastq.gz
15305,GCF_006094355.1,ILM3_2018AL06_15305D-5.fastq.gz,ONG2_2019BI04_15305D-5.fastq.gz
11828,GCF_000231215.1,ILM3_2019BJ01_11828DX.fastq.gz,ONG2_2019CF01_11828DX.fastq.gz
10580,GCF_000746565.1,ILN1_2021AA45_10580.fastq.gz,ONG3_2021AM04_10580.fastq.gz
35469,GCF_000026225.1,ILM3_2019AS08_35469D-5.fastq.gz,ONG2_2019BC03_35469D-5.fastq.gz
BAA-1633,GCF_000018125.1,ILM3_2019BD10_BAA-1633D-5.fastq.gz,ONG2_2019BE05_BAA-1633D-5.fastq.gz
15305,GCF_000010125.1,ILM3_2018AL06_15305D-5.fastq.gz,ONG2_2019BI04_15305D-5.fastq.gz
12228,GCF_000007645.1,ILM3_2018AI04_12228D-5.fastq.gz,ONG2_2019AP04_12228D-5.fastq.gz
9689,GCF_001077535.1,ILM3_2019AR04_9689D-5.fastq.gz,ONG2_2019BA05_9689D-5.fastq.gz
8503,GCF_000012845.1,ILM3_2019AT03_8503D-5.fastq.gz,ONG2_2019BD02_8503D-5.fastq.gz
14018,GCF_001042655.1,ILM3_2019BA03_14018DX.fastq.gz,ONG2_2019BQ01_14018DX.fastq.gz
6904,GCF_000750315.1,ILM3_2019CJ08_6904D-5.fastq.gz,ONG2_2019EG02_6904D-5.fastq.gz
13047,GCF_000025565.1,ILM3_2018AB05_13047D-5.fastq,ONG2_2019BB02_13047D-5.fastq.gz
19061,GCF_000252955.1,ILM3_2020CC01_19061.fastq.gz,ONG3_2020CA04_19061.fastq.gz
49456,GCF_000148585.2,ILM3_2019AQ09_49456D-5.fastq.gz,ONG2_2019AL06_49456D-5.fastq.gz
14018,GCF_900637625.1,ILM3_2019BA03_14018DX.fastq.gz,ONG2_2019BQ01_14018DX.fastq.gz
51547,GCF_000019165.1,ILM3_2019BM04_51547D-5.fastq.gz,ONG2_2019DD04_51547D-5.fastq.gz
10792,GCF_000161615.1,ILM3_2019BY08_10792DX.fastq.gz,ONG2_2019BS05_10792DX.fastq.gz
8014,GCF_002749655.1,ILM3_2018AJ01_8014D-5.fastq.gz,ONG2_2019BG02_8014D-5.fastq.gz
BAA-334,GCF_000006885.1,ILM3_2019AJ05_BAA-334D-5.fastq.gz,ONM2_2019AD04_BAA-334D-5.fastq.gz
15703,GCF_000010425.1,ILM3_2019BK01_15703DX.fastq.gz,ONG2_2019CM04_15703DX.fastq.gz
367,GCF_000014465.1,ILM3_2018AK10_367D-5.fastq.gz,ONG2_2019BH02_367D-5.fastq.gz
7061,GCF_900186955.1,ILM3_2018AG09_7061.fastq.gz,ONM2_2018AC08_7061.fastq
35405,GCF_000008185.1,ILM3_2018AJ04_35405D-5.fastq.gz,ONG2_2019BI02_35405D-5.fastq.gz
33913,GCF_000007145.1,ILM3_2019CN07_33913D-5.fastq.gz,ONG2_2019EP03-33913D-5.fastq.gz
17749,GCF_000354175.2,ILM3_2019AO04_17749DX.fastq.gz,ONG2_2019BM01_17749DX.fastq.gz
25177,GCF_000016145.1,ILM3_2018AL02_25177D-5.fastq.gz,ONG2_2019AO03_25177D-5.fastq.gz
19258,GCF_900474985.1,ILM3_2019BT01_19258DX.fastq,ONG2_2019DC03_19258DX.fastq.gz
7073,GCF_000785515.1,ILN1_2020AA33_7073.fastq.gz,ONG3_2020CP01_7073.fastq.gz
25416,GCF_003546465.1,ILM3_2019AR09_25416D-5.fastq,ONG2_2019BK01_25416D-5.fastq.gz
25922,GCF_012974805.1,ILM3_2018AJ09_25922DX.fastq.gz,ONG2_2019BO01_25922DX.fastq.gz
700388,GCF_000152285.1,ILM3_2019AH06_700388D-5.fastq.gz,ONG2_2019AG02_700388D-5.fastq.gz
31821,GCF_004168305.2,ILM3_2018AK07_31821D-5.fastq.gz,ONG2_2019BH03_31821D-5.fastq.gz
BAA-1116,GCF_000464435.1,ILM3_2019AB02_BAA-1116D-5.fastq.gz,ONG2_2019AP01_BAA-1116D-5.fastq.gz
27853,GCF_001618925.1,ILM3_2018AJ10_27853DX.fastq,ONG2_2019AN04_27853DX.fastq.gz
27264,GCF_000019485.1,ILM3_2019AR02_27264D-5.fastq.gz,ONG2_2019AM01_27264D-5.fastq.gz
13032,GCF_000196335.1,ILM3_2018AJ02_13032D-5.fastq.gz,ONG2_2019BG03_13032D-5.fastq.gz
49129,GCF_001663855.1,ILN1_2020AB34_49129.fastq.gz,ONG3_2020DF02_49129.fastq.gz
51521,GCF_000016185.1,ILN1_2020AB36_51521.fastq.gz,ONG3_2020DF04_51521.fastq.gz
13880,GCF_017654245.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
8739,GCF_016864475.1,ILM3_2018AL01_8739D-5.fastq.gz,ONG2_2019BG04_8739D-5.fastq.gz
39073,GCF_000013105.1,ILM3_2019AB06_39073D-5.fastq.gz,ONG2_2019BN05_39073D-5.fastq.gz
6051,GCF_000186085.1,ILM3_2018AG05_6051.fastq.gz,ONM2_2018AC09_6051.fastq.gz
43068,GCF_000015025.1,ILM3_2019BF09_43068D-5.fastq.gz,ONG2_2019CL04_43068D-5.fastq.gz
33400,GCF_001457635.1,ILM3_2020CG12_33400.fastq.gz,ONG3_2020CD03_33400.fastq.gz
12228,GCF_009873455.1,ILM3_2018AI04_12228D-5.fastq.gz,ONG2_2019AP04_12228D-5.fastq.gz
14685,GCF_900475215.1,ILN1_2021AA13_14685.fastq.gz,ONG3_2020DV04_14685.fastq.gz
9610,GCF_901472495.1,ILM3_2020CA09_9610.fastq.gz,ONG3_2020BU01_9610.fastq.gz
9545,GCF_002003265.1,ILM3_2020CE08_9545.fastq.gz,ONG3_2020BO04_9545.fastq.gz
13032,GCF_000382905.1,ILM3_2018AJ02_13032D-5.fastq.gz,ONG2_2019BG03_13032D-5.fastq.gz
14579,GCF_000007825.1,ILM3_2019AD04_14579D-5.fastq.gz,ONG2_2019AP03_14579D-5.fastq.gz
8387,GCF_003864055.1,ILM3_2020CA04_8387.fastq.gz,ONG3_2020BR02_8387.fastq.gz
13311,GCF_015565735.1,ILM3_2019AF03_13311D-5.fastq.gz,ONG2_2019AA04_13311D-5.fastq.gz
25830,GCF_006094455.1,ILN1_2021AA38_25830.fastq.gz,ONG3_2021AL01_25830.fastq.gz
17978,GCF_011067065.1,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
25017,GCF_000019285.1,ILM2_2019AH12_25017D-5.fastq.gz,ONG2_2019DB05_25017D-5.fastq.gz
8503,GCF_900683725.1,ILM3_2019AT03_8503D-5.fastq.gz,ONG2_2019BD02_8503D-5.fastq.gz
